mindate,maxdate,name,datacoverage,id
1971-05-08,2014-01-01,"Morgan City, LA US",0.0077,CITY:US220013
1971-05-02,2014-01-01,"Natchitoches, LA US",0.0105,CITY:US220014
1976-03-08,2014-01-01,"New Orleans, LA US",0.0113,CITY:US220016
1972-04-01,1989-03-01,"Ruston, LA US",0.0099,CITY:US220018
1971-05-06,2014-01-01,"Shreveport, LA US",0.0147,CITY:US220019
1996-05-01,2014-01-01,"Thibodaux, LA US",0.0256,CITY:US220020
1971-05-03,2014-01-01,"Augusta, ME US",0.0101,CITY:US230001
1973-08-01,2014-01-01,"Bangor, ME US",0.012,CITY:US230002
1971-08-23,2014-01-01,"Waterville, ME US",0.0097,CITY:US230005
1971-05-07,2014-01-01,"Baltimore, MD US",0.0237,CITY:US240002
1971-05-02,1994-10-01,"Cumberland, MD US",0.0093,CITY:US240004
1971-04-02,1996-11-02,"Frederick, MD US",0.0084,CITY:US240006
1971-05-02,1998-09-01,"Hagerstown, MD US",0.0093,CITY:US240007
1971-04-02,2014-01-01,"Westminster, MD US",0.0108,CITY:US240010
1984-01-01,1999-12-01,"Barnstable Town, MA US",0.0335,CITY:US250001
1971-05-02,2013-04-01,"Boston, MA US",0.047,CITY:US250002
1971-05-02,2007-04-01,"Brockton, MA US",0.0087,CITY:US250003
1971-05-02,1992-06-10,"Fall River, MA US",0.0081,CITY:US250004
1971-05-02,2008-10-01,"Gloucester, MA US",0.0091,CITY:US250005
1979-05-03,2008-12-01,"Greenfield, MA US",0.0124,CITY:US250006
1984-01-01,2013-04-01,"Lowell, MA US",0.047,CITY:US250008
1984-01-01,2013-07-01,"North Adams, MA US",0.0108,CITY:US250010
1971-05-03,2008-12-01,"Northampton, MA US",0.0321,CITY:US250011
1978-07-01,2013-02-01,"Pittsfield, MA US",0.0103,CITY:US250012
1979-01-01,2005-06-30,"Springfield, MA US",0.0089,CITY:US250013
1971-05-02,2008-03-01,"Worcester, MA US",0.0095,CITY:US250014
1974-10-06,2014-01-01,"Ann Arbor, MI US",0.0103,CITY:US260002
1970-05-12,1997-08-01,"Benton Harbor, MI US",0.0079,CITY:US260003
2006-09-01,2014-01-01,"Cadillac, MI US",0.0095,CITY:US260005
1984-01-01,2014-01-01,"Detroit, MI US",0.0116,CITY:US260006
1984-01-01,2014-01-01,"Escanaba, MI US",0.0096,CITY:US260007
1971-05-01,2014-01-01,"Jackson, MI US",0.0071,CITY:US260011
1978-04-04,1996-10-24,"Kalamazoo, MI US",0.0057,CITY:US260012
1984-01-01,2011-11-11,"Lansing, MI US",0.0066,CITY:US260013
1999-02-01,2014-01-01,"Marquette, MI US",0.006,CITY:US260014
1971-05-01,2014-01-01,"Muskegon, MI US",0.0187,CITY:US260017
1971-05-01,2014-01-01,"Owosso, MI US",0.0085,CITY:US260018
1971-05-01,2014-01-01,"Sturgis, MI US",0.0074,CITY:US260023
1971-05-01,2014-01-01,"Traverse City, MI US",0.0127,CITY:US260024
1984-01-01,2014-01-01,"Brainerd, MN US",0.0094,CITY:US270003
1984-01-01,2013-05-01,"Buffalo, MN US",0.0078,CITY:US270004
2012-10-01,2014-01-01,"Duluth, MN US",0.0072,CITY:US270005
1994-11-10,1997-06-23,"Fairmont, MN US",0.0068,CITY:US270006
1971-05-01,2014-01-01,"Faribault, MN US",0.0079,CITY:US270007
1978-10-03,2014-01-01,"Fergus Falls, MN US",0.0046,CITY:US270008
1971-05-04,2014-01-01,"Hutchinson, MN US",0.0076,CITY:US270010
1971-05-04,2014-01-01,"Minneapolis, MN US",0.0077,CITY:US270013
1973-08-01,2014-01-01,"Willmar, MN US",0.0071,CITY:US270019
1971-05-10,2014-01-01,"Worthington, MN US",0.0087,CITY:US270020
1971-05-08,2014-01-01,"Biloxi, MS US",0.0106,CITY:US280001
1971-05-06,2014-01-01,"Clarksdale, MS US",0.0162,CITY:US280002
1971-05-07,2006-06-01,"Cleveland, MS US",0.009,CITY:US280003
1998-06-01,1999-10-01,"Columbus, MS US",0.0004,CITY:US280004
1971-05-06,2014-01-01,"Corinth, MS US",0.012,CITY:US280005
